Unnamed: 0,url,title,snippet,date
21,https://www.breitbart.com/politics/2024/08/01/rapper-waka-flocka-flame-trump-still-my-president/,Rapper Waka Flocka Flame: 'Trump Still My President',"Aug 1, 2024 ... The news media also distorted Trump's comments about Kamala Harris after Trump accurately said Kamala used to promote herself as solely Indian and only later ...",2024-08-01
22,https://www.breitbart.com/entertainment/2024/08/01/report-pete-davidson-checks-into-facility-for-mental-health/,Report: Pete Davidson Checks into Facility for Mental Health,"Aug 1, 2024 ... Report: Democrats Skeptical About Kamala Harris 2028 Presidential Run ...",2024-08-01
23,https://www.breitbart.com/politics/2024/08/09/beetlejuice-star-jenna-ortega-hollywood-lost-its-humanity-integrity-because-everyone-wants-to-be-politically-correct/,'Beetlejuice' Star Jenna Ortega: Hollywood Lost Its 'Humanity ...,"Aug 9, 2024 ... Poll: Kamala Harris Leads Democrat 2028 Presidential Field · 'Catastrophic' Transformer Fire Closes ...",2024-08-09
1,https://www.breitbart.com/politics/2024/08/13/report-kamala-harriss-muslim-liaison-has-radical-views-battled-jewish-students/,"Report: Kamala Harris's Muslim Liaison Has Radical Views, Battled ...","Aug 13, 2024 ... Kamala Harris has named Nasrina Bargzie as her liaison to Muslim and Arab voters, despite a record battling pro-Israel and Jewish students.",2024-08-13
2,https://www.breitbart.com/politics/2024/08/19/kamala-harris-hires-disgraced-russia-hoaxer-marc-elias-for-election-legal-team/,Kamala Harris Hires Disgraced Russia Hoaxer Marc Elias for ...,"Aug 19, 2024 ... Vice President Kamala Harris has hired disgraced ""Russia collusion"" hoaxer Marc Elias to help lead her massive team of election lawyers.",2024-08-19
3,https://www.breitbart.com/politics/2024/08/14/what-you-hiding-for-stephen-a-smith-criticizes-kamala-harris-for-dodging-questions/,'What You Hiding For?': Stephen A. Smith Criticizes Kamala Harris ...,"Aug 14, 2024 ... Sports media personality Stephen A. Smith said Tuesday on his podcast ""The Stephen A. Smith Show"" that Vice President Kamala Harris should answer questions ...",2024-08-14
4,https://www.breitbart.com/politics/2024/08/17/cnns-wapos-rampell-harris-backed-off-her-own-campaigns-rhetoric-on-gouging/,"CNN's, WaPo's Rampell: Harris Backed Off Her Own Campaign's ...","Aug 17, 2024 ... ... Kamala Harris' economic policy speech was different from the materials her campaign put out on her “price gouging” proposal. Rampell said, “It was ...",2024-08-17
5,https://www.breitbart.com/asia/2024/08/14/peter-schweizer-democrat-vp-pick-tim-walz-tied-chinese-secret-police-stations-kidnap-ccp-critics/,Peter Schweizer: Tim Walz Tied to Chinese 'Secret Police Stations ...,"Aug 14, 2024 ... The New York Times bestselling author claimed that Walz, who was announced as Vice President Kamala Harris's running mate on August 6, is connected to CCP ...",2024-08-14
6,https://www.breitbart.com/politics/2024/08/12/van-jones-harris-is-getting-more-attention-doesnt-need-to-talk-to-press-right-now/,"Van Jones: Harris Is Getting More Attention, Doesn't Need to Talk to ...","Aug 12, 2024 ... Jones began by saying that 2024 Republican presidential candidate former President Donald Trump is “not getting as much attention as Kamala Harris.” He added ...",2024-08-12
7,https://www.breitbart.com/sports/2024/08/16/michele-tafoya-blasts-mina-kimes-for-gushing-over-tim-walzs-masculinity/,Michele Tafoya Blasts Mina Kimes for Gushing Over Tim Walz's ...,"Aug 16, 2024 ... Michele Tafoya blasted ESPN's Mina Kimes for celebrating Kamala Harris VP pick Tim Walz for his particular type of ""masculinity.""",2024-08-16
8,https://www.breitbart.com/politics/2024/08/16/she-doesnt-know-what-a-woman-is-cnn-panel-has-meltdown-over-nancy-mace-criticism-of-kamala/,'She Doesn't Know What a Woman Is': CNN Panel Has Meltdown ...,"Aug 16, 2024 ... ... Eric Dyson and Rep. Nancy Mace (R-SC) had a heated back-and-forth exchange about Vice President Kamala Harris. | Clips.",2024-08-16
